1	A CALL FOR ALL DEMONS
2	A CHILD IS BORN
4	A FAMILY JOY
3	A FINE ROMANCE
6	A FOGGY DAY
7	A NIGHT IN TUNISIA
8	AFRICAN FLOWER
9	AFRO BLUE
10	AFTERNOON IN PARIS
11	AIREGIN
12	ALICE IN WONDERLAND
13	ALL BLUES
14	ALL IN LOVE IS FAIR
15	ALL MY TOMORROWS
16	ALL OF ME
17	ALL OF YOU
18	ALL THE THINGS YOU ARE
19	ALONE TOGETHER
20	ANA MARIA
22	AND NOW, THE QUEEN
23	AND ON THE THIRD DAY
24	ANGEL EYES
25	ANTHROPOLOGY
26	APRIL IN PARIS
27	APRIL JOY
28	ARISE, HER EYES
30	ARMAGEDDON
22	AROUND AGAIN
31	AS TIME GOES BY
32	AU PRIVAVE
33	AUTUMN IN NEW YORK
36	AUTUMN LEAVES
34	AY, ARRIBA!
37	BALLET
38	BATTERIE
39	BEAUTIFUL LOVE
40	PEAUTY AND THE BLAST
41	BENEATH IT ALL
42	BESSIE'S BLUES
43	BEWITCHED
44	BIG NICK
45	BITTER SUITE IN THE OZONE
46	BLACK DIAMOND
47	BLACK NARCISSUS
48	BLACK NILE
49	BLACK ORPHEUS
50	BLESSED RELIEF
51	BLUE BOSSA
52	BLUE COMEDY
53	BLUE IN GREEN
54	BLUE MONK
55	BLUE ROOM
56	BLUESETTE
57	BLUES FOR ALICE
58	BLUE TRAIN
59	BODY AND SOUL
60	BOPLICITY
61	BOSTON MARATHON
62	BRAINVILLE
64	BRIGHT SIZE LIFE
65	BROADWAY BLUES
66	BROWNOUT
67	BUT BEAUTIFUL
68	BUTTERFLY
72	CANYON SONG
70	CAPTAIN MARVEL
73	CEORA
156	CENTRAL PARK WEST
74	CHEGA DE SAUDADE
76	CHELSEA BELLS
77	CHELSEA BRIDGE
78	CHEROKEE
79	CHICKEN FEATHERS
80	CHILDREN'S SONG
85	CHIPPIE
82	COLORS OF CHLOE
88	COME SUNDAY
86	COMO EN VIETNAM
89	CON ALMA
90	CONCEPTION
91	CONFERENCE OF THE BIRDS
92	CONFIRMATIOn
93	CORAL
94	CORCOVADO
95	COTTONTAIL
96	COULD IT BE YOU
